ID_ZONA,NOMBRE_ZONA,AREA_KM2,POBLACION_KM2,PORCENTAJE_HISPANOS,EDAD_MEDIANA,INGRESO_MEDIANO_HOGAR,TASA_OCUPACION,TAMANO_HOGAR_PROMEDIO,MOV_CANTIDAD_ESTACIONES,ALQ_PRECIO_PIE2_ANUAL,DELITO_PROPIEDAD_KM2,DELITO_TRANSPORTE_KM2,DELITO_OTROS_KM2,COMPETENCIA_DIRECTA_KM2,COMPETENCIA_INDIRECTA_KM2,LUGARES_COMERCIO_KM2,LUGARES_OFICINAS_KM2,LUGARES_RESIDENCIAL_KM2,MOVILIDAD_PROMEDIO_DIARIA
MN0101,Financial District-Battery Park City,19.2268,2528.14,3.37,34.3,198961.0,83.1,1.99,10.0,91.91,4.06,1.46,3.8,1.25,15.86,6.35,1.92,0.31,71700
MN0102,Tribeca-Civic Center,13.5782,1712.82,3.75,36.8,185902.0,81.41,2.2,6.0,122.72,5.67,0.96,8.54,0.81,11.05,2.06,3.09,0.07,52278
MN0201,SoHo-Little Italy-Hudson Square,12.9168,1716.14,4.4,39.3,132900.0,82.01,1.78,6.0,190.54,8.98,0.46,6.81,0.93,21.29,3.1,1.16,0.0,48016
MN0202,Greenwich Village,10.6005,2973.16,3.18,35.7,174062.0,78.61,1.74,4.0,99.03,7.55,1.51,8.77,1.42,22.83,3.58,8.87,0.09,28664
MN0203,West Village,14.4169,2255.55,7.27,39.7,168629.0,80.94,1.68,3.0,220.81,7.01,1.18,5.13,1.25,19.77,2.29,1.04,0.0,18305
MN0302,Lower East Side,16.4732,2798.91,26.06,42.2,58841.0,90.54,2.05,3.0,107.9,4.37,0.55,12.81,0.85,13.23,3.1,1.46,4.8,29110
MN0303,East Village,18.9848,3603.51,17.44,33.9,76136.0,91.01,1.83,2.0,127.58,7.06,0.21,7.69,1.69,22.49,4.37,2.21,3.9,20463
MN0401,Chelsea-Hudson Yards,29.6718,2085.41,9.7,39.2,126272.0,83.9,1.67,6.0,63.64,7.55,0.57,6.34,0.81,11.93,2.33,1.01,0.88,60403
MN0402,Hell's Kitchen,18.3823,3004.03,11.87,39.1,105839.0,87.46,1.61,2.0,126.14,7.4,2.39,15.34,1.96,17.41,2.67,1.69,0.49,11889
MN0501,Midtown South-Flatiron-Union Square,14.879,1994.09,5.03,35.2,182280.0,82.85,1.65,9.0,68.5,17.14,2.42,12.84,1.75,33.27,3.63,2.49,0.0,111626
MN0502,Midtown-Times Square,24.5525,893.96,4.87,42.8,148446.0,67.98,1.61,10.0,199.67,17.51,1.67,12.91,2.16,36.13,9.33,2.12,0.29,135844
MN0601,Stuyvesant Town-Peter Cooper Village,5.5756,3939.13,4.99,39.6,160855.0,92.47,2.05,0.0,140.0,3.23,0.18,4.48,0.18,0.72,0.72,0.0,10.22,0
MN0602,Gramercy,7.526,3524.18,3.2,35.2,153720.0,78.79,1.71,2.0,138.33,7.44,0.53,7.31,1.73,19.67,2.92,4.92,0.0,13872
