New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,541,265,29.8,27.6%,12.0%,"604,685 ","10,443",-2.6,12.0
Cuban,"41,793","2,594",3.8,1.7%,0.1%,61,64,63.6,3.1%,3.2%,"41,732 ","2,595",-1.4,3.2
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,48,92,116.5,2.4%,4.7%,"712,198 ","10,540",27.0 ,4.7
Central American,"181,910","7,173",2.4,7.5%,0.3%,164,208,77.1,8.4%,10.4%,"181,746 ","7,176",-0.9,10.4
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,33,52,95.8,1.7%,2.6%,"6,599 ","1,045",-1.4,2.6
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,3,5,101.3,0.2%,0.3%,"44,529 ","3,442",1.6 ,0.3
Honduran,"48,367","3,524",4.4,2.0%,0.1%,120,199,100.8,6.1%,10.1%,"48,247 ","3,530",-4.1,10.1
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,8,19,144.4,0.4%,1.0%,"10,752 ","1,824",0.0,1.0
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,0,,,,,,,0.9,0.1
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,0,,,,,,,2.0,0.2
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,181,119,40.1,9.2%,5.7%,"405,966 ","9,577",7.6 ,5.7
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,0,,,,,,,0.7,0.1
Bolivian,"4,058",824,12.3,0.2%,0.0%,20,31,94.2,1.0%,1.6%,"4,038 ",825,-0.8,1.6
Chilean,"8,691","1,139",8.0,0.4%,0.0%,18,31,104.7,0.9%,1.6%,"8,673 ","1,139",-0.5,1.6
Colombian,"111,194","4,185",2.3,4.6%,0.2%,23,37,98.9,1.2%,1.9%,"111,171 ","4,185",3.4 ,1.9
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,69,80,70.1,3.5%,4.0%,"197,346 ","7,979",4.7 ,4.0
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,8,15,114.0,0.4%,0.8%,"40,430 ","2,853",1.3 ,0.8
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,43,66,93.3,2.2%,3.3%,"18,456 ","2,025",-1.4,3.3
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,766,184,14.6,39.1%,3.0%,"143,183 ","5,662",-33.2 ,3.0
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,136,95,42.4,6.9%,4.6%,"29,068 ","2,615",-5.7 ,4.6
Spanish,"15,999","1,957",7.4,0.7%,0.1%,79,76,58.6,4.0%,3.8%,"15,920 ","1,958",-3.3,3.8
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,551,136,15.0,28.1%,2.7%,"97,553 ","4,333",-24.0 ,2.7


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"13,798",885,3.9,100.0%,,"3,299,518 ","6,021",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"4,230",600,8.6,30.7%,3.9%,"1,924,635 ","9,741",27.5 ,3.9
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"1,850",442,14.5,13.4%,3.1%,"762,500 ","7,660",9.7 ,3.1
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"3,377",490,8.8,24.5%,3.2%,"1,178,191 ","8,800",11.2 ,3.2
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"1,230",263,13.0,8.9%,1.8%,"474,612 ","6,025",5.5 ,1.8
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,348,126,22.0,2.5%,0.9%,"186,854 ","3,795",3.1 ,0.9
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,322,113,21.4,2.3%,0.8%,"56,202 ","2,411",-0.6,0.8
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,505,374,45.1,3.7%,2.7%,"559,590 ","5,925",13.2 ,2.7
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,298,337,68.8,2.2%,2.4%,"231,686 ","4,069",4.8 ,2.4
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"9,568",790,5.0,69.3%,3.6%,"1,374,883 ","8,851",-27.5 ,3.6
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"7,738",776,6.1,56.1%,4.3%,"1,097,841 ","8,581",-22.7 ,4.3
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"2,123",422,12.1,15.4%,2.9%,"400,815 ","4,785",-3.2 ,2.9
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"1,879",435,14.1,13.6%,3.0%,"885,027 ","7,801",13.2 ,3.0
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"3,218",438,8.3,23.3%,2.8%,"1,028,323 ","4,346",7.8 ,2.8
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,1.71,0.17,6.0,,,0.80 ,0.17,,
Average family size ,3.27,0.01,0.2,,,2.68,0.55,12.4,,,0.59 ,0.55,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"23,913","1,390",3.5,100.0%,,"6,937,053 ","2,780",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"16,854","1,309",4.7,70.5%,3.6%,"4,395,221 ","11,052",-7.1 ,3.6
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"16,854","1,309",4.7,70.5%,3.6%,"4,391,574 ","11,055",-7.2 ,3.6
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"16,338","1,300",4.8,68.3%,3.7%,"4,054,158 ","12,762",-9.8 ,3.7
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,516,173,20.4,2.2%,0.7%,"337,416 ","6,403",2.7 ,0.7
Armed Forces,"3,647",577,9.6,0.1%,0.1%,0,,,,,,,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"7,059",862,7.4,29.5%,3.2%,"2,541,832 ","11,195",7.1 ,3.2
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"16,854","1,309",4.7,100.0%,,"4,391,574 ","11,055",0.0,0.0
