New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Mexican,"329,268","9,174",1.7,13.6%,0.4%,"2,979",988,20.2,12.8%,4.1%,"326,289 ","9,227",0.8,4.1
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"10,239","1,507",8.9,43.9%,5.0%,"594,987 ","10,548",-18.9 ,5.0
Cuban,"41,793","2,594",3.8,1.7%,0.1%,443,286,39.2,1.9%,1.2%,"41,350 ","2,610",-0.2,1.2
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"5,708","1,347",14.3,24.5%,5.3%,"706,538 ","10,626",4.9,5.3
Central American,"181,910","7,173",2.4,7.5%,0.3%,618,300,29.5,2.6%,1.3%,"181,292 ","7,179",4.9 ,1.3
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,9,13,87.8,0.0%,0.1%,"6,623 ","1,044",0.3 ,0.1
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,149,96,39.3,0.6%,0.4%,"44,383 ","3,443",1.2 ,0.4
Honduran,"48,367","3,524",4.4,2.0%,0.1%,111,108,58.9,0.5%,0.5%,"48,256 ","3,526",1.5 ,0.5
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,176,194,67.1,0.8%,0.8%,"10,584 ","1,834",-0.4,0.8
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,86,120,84.8,0.4%,0.5%,"21,984 ","2,266",0.5,0.5
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,87,86,59.9,0.4%,0.4%,"48,782 ","4,312",1.6 ,0.4
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"1,858",690,22.6,8.0%,2.9%,"404,289 ","9,601",8.8 ,2.9
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,105,96,55.5,0.5%,0.4%,"16,320 ","1,553",0.2,0.4
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,64,55,52.4,0.3%,0.2%,"8,627 ","1,140",0.1,0.2
Colombian,"111,194","4,185",2.3,4.6%,0.2%,197,130,40.1,0.8%,0.6%,"110,997 ","4,187",3.8 ,0.6
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,"1,183",603,31.0,5.1%,2.5%,"196,232 ","8,002",3.1 ,2.5
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,232,213,55.8,1.0%,0.9%,"40,206 ","2,861",0.7,0.9
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,77,101,79.7,0.3%,0.4%,"18,422 ","2,027",0.5 ,0.4
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,477",526,21.7,6.3%,2.2%,"142,472 ","5,683",-0.4,2.2
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,225,134,36.2,1.0%,0.6%,"28,979 ","2,616",0.2,0.6
Spanish,"15,999","1,957",7.4,0.7%,0.1%,290,277,58.0,1.2%,1.2%,"15,709 ","1,977",-0.5,1.2
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,962,422,26.6,4.1%,1.8%,"97,142 ","4,352",0.0,1.8


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"25,874","1,324",3.1,100.0%,,"3,287,442 ","6,101",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"12,693","1,221",5.8,49.1%,4.0%,"1,916,172 ","9,799",9.1 ,4.0
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"4,702",649,8.4,18.2%,2.3%,"759,648 ","7,674",4.9 ,2.3
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"5,073",555,6.6,19.6%,1.9%,"1,176,495 ","8,804",16.1 ,1.9
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"1,866",338,11.0,7.2%,1.3%,"473,976 ","6,028",7.2 ,1.3
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,"1,622",484,18.2,6.3%,1.8%,"185,580 ","3,824",-0.7,1.8
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,563,233,25.2,2.2%,0.9%,"55,961 ","2,419",-0.5,0.9
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,"5,998","1,078",10.9,23.2%,4.0%,"554,097 ","6,010",-6.3 ,4.0
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,"2,273",502,13.4,8.8%,1.9%,"229,711 ","4,086",-1.8,1.9
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"13,181",941,4.3,50.9%,2.5%,"1,371,270 ","8,866",-9.1 ,2.5
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"11,657",955,5.0,45.1%,2.9%,"1,093,922 ","8,599",-11.7 ,2.9
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"4,177",682,9.9,16.1%,2.5%,"398,761 ","4,815",-3.9 ,2.5
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"5,508",604,6.7,21.3%,2.1%,"881,398 ","7,812",5.5 ,2.1
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"8,087","1,104",8.3,31.3%,4.0%,"1,023,454 ","4,463",-0.2,4.0
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,2.14,0.17,4.7,,,0.37 ,0.17,,
Average family size ,3.27,0.01,0.2,,,3.08,0.42,8.2,,,0.19,0.42,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
