New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"3,212",762,14.4,100.0%,,"2,417,327 ",762,0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,519,296,34.6,16.2%,8.4%,"328,749 ","9,179",-2.6,8.4
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,687,326,28.9,21.4%,8.8%,"604,539 ","10,445",3.6,8.8
Cuban,"41,793","2,594",3.8,1.7%,0.1%,132,89,40.9,4.1%,2.6%,"41,661 ","2,596",-2.4,2.6
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,155,147,57.7,4.8%,4.4%,"712,091 ","10,541",24.6 ,4.4
Central American,"181,910","7,173",2.4,7.5%,0.3%,201,146,44.3,6.3%,4.3%,"181,709 ","7,174",1.2,4.3
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,23,29,76.2,0.7%,0.9%,"6,609 ","1,044",-0.4,0.9
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,76,104,83.3,2.4%,3.2%,"44,456 ","3,444",-0.6,3.2
Honduran,"48,367","3,524",4.4,2.0%,0.1%,0,,,,,,,2.0,0.1
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,0,,,,,,,0.4,0.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,94,98,63.7,2.9%,3.0%,"21,976 ","2,265",-2.0,3.0
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,8,14,106.4,0.2%,0.4%,"48,861 ","4,311",1.8 ,0.4
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,367,174,28.9,11.4%,4.7%,"405,780 ","9,578",5.4 ,4.7
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,54,50,56.3,1.7%,1.5%,"16,371 ","1,551",-1.0,1.5
Bolivian,"4,058",824,12.3,0.2%,0.0%,5,12,145.9,0.2%,0.4%,"4,053 ",824,0.0,0.4
Chilean,"8,691","1,139",8.0,0.4%,0.0%,10,20,121.6,0.3%,0.6%,"8,681 ","1,139",0.1,0.6
Colombian,"111,194","4,185",2.3,4.6%,0.2%,174,137,48.0,5.4%,4.1%,"111,020 ","4,187",-0.8,4.1
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,85,81,58.0,2.6%,2.4%,"197,330 ","7,979",5.6 ,2.4
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,27,33,73.9,0.8%,1.0%,"40,411 ","2,853",0.9,1.0
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,12,19,96.3,0.4%,0.6%,"18,487 ","2,024",0.4,0.6
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,151",596,31.5,35.8%,16.5%,"142,798 ","5,690",-29.9 ,16.5
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,17,18,63.3,0.5%,0.5%,"29,187 ","2,613",0.7 ,0.5
Spanish,"15,999","1,957",7.4,0.7%,0.1%,280,346,75.1,8.7%,10.6%,"15,719 ","1,987",-8.0,10.6
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,854,331,23.6,26.6%,8.2%,"97,250 ","4,344",-22.5 ,8.2


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"15,736",839,3.2,100.0%,,"3,297,580 ","6,015",0.0,0.0
